name,price,oldprice,percent,cover,link,metascore,userscore
Mad Carnage,3.99,4.49,-20 %,https://media.nintendo.com/nintendo/bin/jKl9oQfrXZ9c8IabEF9qCSc1Q-P__jGO/cXPc5b0VMuSpgUfBwDdTyxy3tin_TjaY.png,https://ec.nintendo.com/title_purchase_confirm?title=70010000005422&v_price=3.99&v_currency=USD&v_loggedin=false&v_country=US&r=https://www.nintendo.com/games/game-guide/#filter/switch|-|-|-|-|-|-|-|-|-|-|-|-|-|featured|des|-|-,TBD, TBD
Frederic 2: Evil Strikes Back,2.49,4.49,-10 %,https://media.nintendo.com/nintendo/bin/bCEaRAPhYaZ5QYqbjsv1SAU6wYE37k8t/HAPKFuY3MRSpfHdcgRSVwOh9QuKpkIKQ.png,https://www.nintendo.com/games/detail/UKSm2Gz83G2aJKQwqJITie9LvuBk6PvI,80, TBD
Tachyon Project,7.99,9.99,-20 %,https://media.nintendo.com/nintendo/bin/BmVgc1eJLQkORPGGxIBss_kXLUy1svpq/2WGHPjZ4uImb-YxGg0hd1YNbZMpjEu1C.png,https://ec.nintendo.com/title_purchase_confirm?title=70010000002424&v_price=7.99&v_currency=USD&v_loggedin=false&v_country=US&r=https://www.nintendo.com/games/game-guide/#filter/switch|-|-|-|-|-|-|-|-|-|-|-|-|-|featured|des|-|-,67, TBD
Baseball Riot,3.99,4.99,-20 %,https://media.nintendo.com/nintendo/bin/zGla_3oOn5yAo9z7Te0_q761S609i2UX/apel7TmIo9exixcbtUrX7U9N3wcLgtxC.png,https://ec.nintendo.com/title_purchase_confirm?title=70010000005865&v_price=3.99&v_currency=USD&v_loggedin=false&v_country=US&r=https://www.nintendo.com/games/game-guide/#filter/switch|-|-|-|-|-|-|-|-|-|-|-|-|-|featured|des|-|-,51, TBD
